,1,2,3,4,5,6,7,8,9,10,11,12
1961,-3.1,2.1,6.4,11.8,12.2,18.0,16.7,17.9,16.5,10.9,3.8,-2.4
1962,-1.1,-1.3,0.2,10.4,11.5,15.5,16.8,18.8,12.9,8.9,3.8,-4.5
1963,-8.2,-6.1,0.8,9.9,14.1,17.6,19.8,18.5,15.4,8.5,6.8,-5.1
1964,-6.1,-1.0,0.1,10.2,13.9,19.4,19.3,16.9,14.2,8.3,4.8,-1.3
1965,-1.1,-3.4,2.5,7.7,11.9,16.6,17.1,15.9,14.6,7.1,0.7,0.2
1966,-4.9,4.3,3.7,10.8,13.9,17.6,17.5,17.2,13.7,12.7,3.3,0.6
1967,-2.2,0.5,5.3,8.7,14.3,16.9,20.5,18.3,15.6,10.9,3.5,-1.0
1968,-3.7,1.0,4.7,10.7,13.5,18.3,18.1,17.3,14.3,9.0,5.1,-3.2
1969,-3.1,-1.8,0.8,9.0,16.2,16.4,19.4,16.9,14.7,10.1,4.9,-4.9
1970,-3.1,-2.5,1.6,7.7,12.5,17.8,18.0,17.9,13.1,8.0,5.9,0.0
1971,-3.2,1.4,1.5,9.7,15.6,15.8,19.4,20.3,12.4,7.9,3.2,2.5
1972,-2.9,2.2,6.1,8.5,13.7,17.6,19.5,17.5,11.9,7.0,3.8,-0.2
1973,-1.1,0.8,4.9,7.1,14.3,16.8,18.6,19.4,15.3,7.2,1.4,-0.5
1974,1.0,3.6,7.3,9.0,13.2,15.0,17.1,20.1,14.3,5.5,3.7,2.5
1975,2.0,-0.2,4.9,8.4,14.8,16.7,19.5,19.1,17.3,8.5,2.3,0.1
1976,-0.3,-0.9,1.0,9.3,14.0,18.0,20.2,16.5,13.2,10.0,5.5,-1.0
1977,-1.5,1.3,7.0,7.3,13.3,17.8,18.3,17.1,12.2,10.0,4.5,-1.2
1978,-0.4,-2.1,5.0,7.7,12.4,15.9,16.4,16.4,13.3,9.7,1.7,-0.9
1979,-5.0,-0.9,4.8,7.8,15.2,19.3,16.3,17.4,14.5,7.8,3.8,2.7
1980,-4.5,0.8,2.7,6.4,11.6,16.1,16.8,17.8,13.6,8.3,1.8,-1.1
1981,-3.5,-0.4,6.9,8.6,14.6,18.1,18.0,18.5,15.1,9.5,3.7,-2.0
1982,-5.4,-1.6,4.6,6.9,14.3,17.7,19.6,19.1,17.7,9.8,4.3,1.3
1983,3.0,-2.1,5.0,10.7,15.0,17.4,22.2,20.1,15.0,9.1,1.7,-1.0
1984,-0.8,-0.6,3.2,8.7,13.2,15.4,16.9,18.1,13.6,10.1,4.7,-0.7
1985,-8.0,-4.9,3.4,8.9,15.3,14.6,18.7,18.2,14.1,8.7,0.7,1.8
1986,-0.9,-6.2,2.8,10.9,16.2,17.2,18.2,18.5,13.3,9.5,4.5,-0.9
1987,-7.2,-0.6,-0.7,9.5,12.3,16.5,19.4,16.3,16.1,10.3,4.8,1.1
1988,1.6,1.9,2.5,9.4,15.7,16.9,19.7,19.1,14.4,9.4,0.2,1.6
1989,-0.1,3.7,6.9,10.1,14.6,16.1,19.7,18.9,15.2,10.2,2.3,0.2
1990,-0.5,4.2,7.6,8.3,14.9,17.2,18.5,19.9,12.4,10.0,4.8,-0.5
1991,-0.2,-3.7,6.1,8.1,10.8,16.5,20.9,19.1,16.1,8.5,3.8,-1.8
1992,0.6,2.5,4.5,9.3,14.9,18.6,20.9,23.6,15.3,7.7,3.7,-0.6
1993,-0.4,-1.5,2.7,10.6,17.2,17.5,18.2,19.2,14.1,9.6,0.8,1.0
1994,2.3,-0.1,6.8,9.7,14.3,18.3,23.1,20.7,16.3,7.6,5.3,0.9
1995,-1.2,3.7,3.2,9.7,14.0,16.6,22.1,19.4,13.3,10.9,1.2,-1.9
1996,-4.2,-4.3,0.1,9.5,15.0,18.0,17.6,18.4,11.2,10.2,5.5,-4.1
1997,-4.2,1.8,4.6,6.7,15.1,18.0,18.2,20.2,14.7,6.8,4.2,1.5
1998,1.0,3.7,3.9,11.3,15.0,19.0,19.8,19.8,14.3,9.1,0.8,-2.0
1999,-0.8,-0.5,6.1,10.9,15.0,17.6,20.9,18.8,18.0,9.9,3.1,-0.3
2000,-2.2,3.1,5.0,13.5,16.8,19.7,17.7,21.0,14.3,12.4,7.2,1.2
2001,-0.4,1.3,4.7,8.6,16.2,16.1,20.1,20.5,12.6,11.9,2.4,-3.9
2002,-1.2,3.6,5.8,9.4,17.1,19.1,20.9,20.4,14.0,7.5,6.0,-3.1
2003,-2.1,-2.7,4.7,9.1,17.2,21.3,20.3,22.5,15.4,6.9,5.9,0.2
2004,-3.3,1.0,3.8,10.7,13.1,17.0,19.2,20.2,14.9,10.9,4.6,0.4
2005,0.2,-2.2,2.1,10.9,14.8,17.5,19.1,17.5,15.5,9.6,2.6,-1.2
2006,-6.3,-2.9,1.2,10.3,13.9,18.3,22.7,16.3,16.5,11.0,6.1,1.9
2007,3.2,3.2,6.3,11.8,15.7,20.1,21.1,20.9,13.3,8.8,2.7,-0.2
2008,1.7,3.1,4.6,10.1,15.5,19.9,20.3,19.9,14.4,9.9,6.5,2.1
2009,-3.0,0.3,4.8,14.2,15.4,17.3,20.4,20.9,17.2,8.9,5.9,0.3
2010,-3.7,-0.5,4.9,10.2,13.6,18.5,21.9,19.2,13.5,7.2,6.7,-3.6
2011,-0.5,-0.8,5.7,12.5,15.1,19.2,18.9,20.5,17.2,9.5,2.9,2.1
2012,0.8,-3.3,7.3,10.7,16.9,19.6,21.0,21.3,16.2,9.7,6.5,-1.4
2013,-1.3,0.5,1.3,10.5,14.1,17.9,22.2,20.9,13.8,10.5,5.6,2.1
2014,1.3,3.4,8.8,11.9,14.4,19.1,21.8,18.0,15.7,11.4,7.5,2.4
2015,1.9,1.7,5.9,10.2,14.6,19.0,22.9,24.0,16.0,9.6,6.6,2.8
2016,-1.0,4.9,5.7,10.2,15.6,19.8,21.3,19.6,18.3,9.1,4.0,-0.3
2017,-5.1,1.6,8.3,9.2,16.0,21.0,21.2,22.1,14.1,10.6,4.6,1.9
